release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
2006,9,6,PG-13,Superman Returns,270000000,154,Warner Bros.,391081192,200081192,Action,Sci-Fi,,0
2006,10,6.4,PG,Happy Feet,100000000,108,Warner Bros.,384335608,198000317,Animation,Adventure,Comedy,0
2005,1,7.7,PG-13,Harry Potter and the Goblet of Fire,150000000,157,Warner Bros.,895921036,290013036,Adventure,Family,Fantasy,0
2005,2,7.5,PG-13,Star Wars: Episode III - Revenge of the Sith,113000000,140,Twentieth Century Fox,868352530,380270577,Action,Adventure,Fantasy,0
2005,3,6.9,PG,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,143,Walt Disney ,745013115,291710957,Adventure,Family,Fantasy,0
2005,4,6.5,PG-13,War of the Worlds,132000000,116,Paramount Pictures,603873119,234280354,Adventure,Sci-Fi,Thriller,0
2005,5,7.2,PG-13,King Kong,207000000,187,Universal Pictures,562363449,218080025,Action,Adventure,Drama,0
2005,6,6.9,PG,Madagascar,75000000,86,DreamWorks,542063846,193595521,Animation,Adventure,Comedy,0
2005,7,6.5,PG-13,Mr. & Mrs. Smith,110000000,120,Twentieth Century Fox,487287646,186336279,Action,Comedy,Crime,0
2005,8,6.6,PG,Charlie and the Chocolate Factory,150000000,115,Warner Bros.,474968763,206459076,Adventure,Comedy,Family,0
2005,9,8.2,PG-13,Batman Begins,150000000,140,Warner Bros.,371853783,205343774,Action,Adventure,Fantasy,0
2005,10,6.6,PG-13,Hitch,70000000,118,Sony Pictures,371594210,179495555,Comedy,Romance,,0
2004,1,7.2,PG,Shrek 2,150000000,93,DreamWorks,928760770,441226247,Animation,Adventure,Comedy,0
2004,2,7.9,PG,Harry Potter and the Prisoner of Azkaban,130000000,142,Warner Bros.,795634069,249541069,Adventure,Family,Fantasy,0
2004,3,7.3,PG-13,Spider-Man 2,200000000,127,Sony Pictures,788976453,373585825,Action,Adventure,Sci-Fi,1
2004,4,8,PG,The Incredibles,92000000,115,Walt Disney ,631442092,261441092,Animation,Action,Adventure,0
2004,5,7.1,R,The Passion of the Christ,30000000,127,Icon Productions,611486736,370274604,Drama,,,0
2004,6,6.4,PG-13,The Day After Tomorrow,125000000,124,Twentieth Century Fox,552639571,186740799,Action,Adventure,Sci-Fi,0
2004,7,6.3,PG-13,Meet the Fockers,80000000,115,Universal Pictures,522657936,279261160,Comedy,romance,,0
2004,8,7.2,R,Troy,175000000,163,Warner Bros.,497409852,133378256,Drama,History,,0
2004,9,6,PG,Shark Tale,75000000,90,DreamWorks,374583879,160861908,Animation,Adventure,Comedy,0
2004,10,6.5,PG-13,Ocean's Twelve,110000000,125,Warner Bros.,362744280,125544280,Crime,Thriller,,0
2003,1,8.9,PG-13,The Lord of the Rings: The Return of the King,94000000,201,New Line Cinema,1140682011,377027325,Adventure,Drama,Fantasy,0
2003,2,8.1,G,Finding Nemo,94000000,100,Walt Disney ,871014978,339714978,Animation,Adventure,Comedy,0
2003,3,7.2,R,The Matrix Reloaded,150000000,138,Warner Bros.,739412035,281576461,Action,Sci-Fi,,0
2003,4,8,PG-13,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,143,Walt Disney ,654264015,305413918,Action,Adventure,Fantasy,0
2003,5,6.7,PG-13,Bruce Almighty,81000000,101,Universal Pictures,484592874,242829261,Comedy,Drama,Fantasy,0
2003,6,7.7,R,The Last Samurai,140000000,154,Warner Bros.,454627263,111127263,Action,Drama,War,0
2003,7,6.3,R,Terminator 3: Rise of the Machines,200000000,109,Warner Bros.,433371112,150371112,Action,Sci-Fi,,0
2003,8,6.7,R,The Matrix Revolutions,150000000,129,Warner Bros.,427343298,139313948,Action,Sci-Fi,,0
2003,9,7.4,PG-13,X2: X-Men United,110000000,134,Twentieth Century Fox,407711549,214949694,Action,Sci-Fi,Thriller,1
2003,10,6.6,R,Bad Boys II,130000000,147,Sony Pictures,273339556,138608444,Action,Comedy,Crime,0
2002,1,8.7,PG-13,The Lord of the Rings: The Two Towers,94000000,179,New Line Cinema,936689735,339789881,Adventure,Drama,Fantasy,0
2002,2,7.4,PG,Harry Potter and the Chamber of Secrets,100000000,161,Warner Bros.,878979634,261988482,Adventure,Family,Fantasy,0
2002,3,7.3,PG-13,Spider-Man,139000000,121,Sony Pictures,821708551,403706375,Action,Adventure,Sci-Fi,1
2002,4,6.5,PG,Star Wars: Episode II - Attack of the Clones,115000000,142,Twentieth Century Fox,645256452,302191252,Action,Adventure,Fantasy,0
2002,5,6.2,PG-13,Men in Black II,140000000,88,Sony Pictures,441818803,190418803,Action,Adventure,Comedy,0
2002,6,6.1,PG-13,Die Another Day,142000000,133,Metro-Goldwyn-Mayer,431971116,160942139,Action,Adventure,Thriller,0
2002,7,6.7,PG-13,Signs,72000000,106,Walt Disney ,408247917,227966634,Drama,Mystery,Sci-Fi,0
2002,8,7.5,PG,Ice Age,59000000,81,Twentieth Century Fox,383257136,176387405,Animation,Adventure,Comedy,0
2002,9,6.5,PG,My Big Fat Greek Wedding,5000000,95,IFC Films,368744044,241438208,Comedy,Drama,Romance,0
2002,10,7.6,PG-13,Minority Report,102000000,145,Twentieth Century Fox,358372926,132072926,Action,Crime,Mystery,0
2001,1,7.6,PG,Harry Potter and the Sorcerer's Stone,125000000,152,Warner Bros.,974755371,317575550,Adventure,Family,Fantasy,0
2001,2,8.8,PG-13,The Lord of the Rings: The Fellowship of the Ring,93000000,178,New Line Cinema,883726270,313364114,Adventure,Drama,Fantasy,0
2001,3,8,G,"Monsters, Inc.",115000000,92,Walt Disney ,528773250,255873250,Animation,Adventure,Comedy,0
2001,4,7.8,PG,Shrek,60000000,90,DreamWorks,484409218,267665011,Animation,Adventure,Comedy,0
2001,5,7.8,PG-13,Ocean's Eleven,85000000,116,Warner Bros.,450717150,183417150,Crime,Thriller,,0
2001,6,6.2,PG-13,Pearl Harbor,140000000,183,Walt Disney ,449220945,198542554,Action,Drama,History,0
2001,7,6.3,PG-13,The Mummy Returns,98000000,130,Universal Pictures,433013274,202019785,Action,Adventure,Fantasy,0
2001,8,5.9,PG-13,Jurassic Park III,93000000,92,Universal Pictures,368780809,181171875,Action,Adventure,Sci-Fi,0
2001,9,5.7,PG-13,Planet of the Apes,100000000,119,Twentieth Century Fox,362211740,180011740,Action,Adventure,Sci-Fi,0
2001,10,6.8,R,Hannibal,87000000,131,Metro-Goldwyn-Mayer,351692268,165092268,Crime,Drama,Thriller,0
2000,1,6.1,PG-13,Mission: Impossible II,125000000,123,Paramount Pictures,546388105,215409889,Action,Adventure,Thriller,0
2000,2,8.5,R,Gladiator,103000000,155,DreamWorks,460583960,187705427,Action,Adventure,Drama,0
2000,3,7.8,PG-13,Cast Away,90000000,143,Twentieth Century Fox,429632142,233632142,Adventure,Drama,Romance,0
2000,4,6.4,PG-13,What Women Want,70000000,127,Paramount Pictures,374111707,182811707,Comedy,Fantasy,Romance,0
2000,5,6.5,PG,Dinosaur,127500000,82,Walt Disney ,349822765,137748063,Animation,Adventure,Family,0
2000,6,6.1,PG,How the Grinch Stole Christmas,123000000,104,Universal Pictures,345141403,260044825,Comedy,Family,Fantasy,0
2000,7,7,PG-13,Meet the Parents,55000000,108,Universal Pictures,330444045,166244045,Comedy,romance,,0
2000,8,6.4,PG-13,The Perfect Storm,140000000,130,Warner Bros.,328718434,182618434,Action,Adventure,Drama,0
2000,9,7.4,PG-13,X-Men,75000000,104,Twentieth Century Fox,296339528,157299718,Action,Adventure,Sci-Fi,1
2000,10,6.6,PG-13,What Lies Beneath,100000000,130,DreamWorks,291420351,155464351,Drama,Fantasy,Horror,0
1999,1,6.5,PG,Star Wars: Episode I - The Phantom Menace,115000000,136,Twentieth Century Fox,924305084,431088295,Action,Adventure,Fantasy,0
1999,2,8.1,PG-13,The Sixth Sense,40000000,107,Walt Disney ,672806292,293506292,Drama,Mystery,Thriller,0
1999,3,7.9,G,Toy Story 2,90000000,92,Walt Disney ,487059677,245852179,Animation,Adventure,Comedy,0
1999,4,8.7,R,The Matrix,63000000,136,Warner Bros.,463517383,171479930,Action,Sci-Fi,,0
1999,5,7.3,G,Tarzan,130000000,88,Walt Disney ,448191819,171091819,Animation,Adventure,Family,0
1999,6,7,PG-13,The Mummy,80000000,124,Universal Pictures,415933406,155385488,Action,Adventure,Fantasy,0
1999,7,7.1,PG-13,Notting Hill,42000000,124,Universal Pictures,363889678,116089678,Comedy,Drama,Romance,0
1999,8,6.4,PG-13,The World is Not Enough,135000000,128,Metro-Goldwyn-Mayer,361832400,126943684,Action,Adventure,Thriller,0
1999,9,8.3,R,American Beauty,15000000,122,DreamWorks,356296601,130096601,Drama,,,0
1999,10,6.6,PG-13,Austin Powers: The Spy Who Shagged Me,33000000,95,New Line Cinema,312016858,206040086,Action,Adventure,Comedy,0
1998,1,6.7,PG-13,Armageddon,140000000,151,Walt Disney ,553709788,201578182,Action,Adventure,Sci-Fi,0
1998,2,8.6,R,Saving Private Ryan,70000000,169,DreamWorks,481840909,216540909,Drama,War,,0
1998,3,5.4,PG-13,Godzilla,130000000,139,Sony Pictures,379014294,136314294,Action,Sci-Fi,Thriller,0
1998,4,7.1,R,There's Something About Mary,23000000,119,Twentieth Century Fox,369884651,176484651,Comedy,Romance,,0
1998,5,7.2,G,A Bug's Life,120000000,95,Walt Disney ,363258859,162798565,Animation,Adventure,Comedy,0
1998,6,6.2,PG-13,Deep Impact,75000000,120,Paramount Pictures,349464664,140464664,Action,Drama,Romance,0
1998,7,7.6,G,Mulan,90000000,88,Walt Disney ,304320254,120620254,Animation,Adventure,Family,0
1998,8,5.4,PG-13,Doctor Dolittle,71500000,85,Twentieth Century Fox,294456605,144156605,Comedy,Family,Fantasy,0
1998,9,7.1,R,Shakespeare in Love,25000000,123,Miramax,289317794,100317794,Comedy,Drama,History,0
